,Neuron name,Current Root ID Spring 2023,id
291,AVLP_pr31_L4,720575940633682295,720575940633682295
292,AVLP_pr31_L5,720575940650973174,720575940650973174
293,AVLP_pr31_L6,720575940627952207,720575940627952207
294,put_AVLP_pr31_L1,720575940607254723,720575940607254723
295,put_AVLP_pr31_L2,720575940619590081,720575940619590081
296,put_AVLP_pr31_L3,720575940622754756,720575940622754756
297,put_AVLP_pr31_L4,720575940604114604,720575940604114604
298,put_AVLP_pr31_L5,720575940619121647,720575940619121647
299,put_AVLP_pr31_L6,720575940620801304,720575940620801304
300,put_AVLP_pr31_L7,720575940621556743,720575940621556743
301,put_AVLP_pr31_L8,720575940625844721,720575940625844721
302,put_AVLP_pr31_L9,720575940627721154,720575940627721154
303,put_AVLP_pr31_L10,720575940636111081,720575940636111081
304,put_AVLP_pr31_L11,720575940607627275,720575940607627275
305,put_AVLP_pr31_L12,720575940623656376,720575940623656376
306,put_AVLP_pr31_L13,720575940629271352,720575940629271352
307,AVLP_pr31_R1,720575940630334828,720575940630334828
308,AVLP_pr31_R2,720575940625427272,720575940625427272
309,AVLP_pr31_R3,720575940626568235,720575940626568235
310,AVLP_pr31_R4,720575940625701909,720575940625701909
311,AVLP_pr31_R5,720575940631158242,720575940631158242
312,AVLP_pr31_R6,720575940611694545,720575940611694545
313,AVLP_pr31_R7,720575940624375324,720575940624375324
314,AVLP_pr31_R8,720575940621625607,720575940621625607
315,put_AVLP_pr31_R1,720575940605137538,720575940605137538
316,put_AVLP_pr31_R2,720575940642818852,720575940642818852
317,put_AVLP_pr31_R3,720575940626717712,720575940626717712
318,put_AVLP_pr31_R4,720575940621256682,720575940621256682
319,put_AVLP_pr31_R5,720575940622895911,720575940622895911
320,put_AVLP_pr31_R6,720575940627827450,720575940627827450
321,put_AVLP_pr31_R7,720575940625283093,720575940625283093
322,put_AVLP_pr31_R8,720575940626256003,720575940626256003
323,AVLP_pr32_R1,720575940648981881,720575940648981881
324,AVLP_pr32_R2,720575940610929379,720575940610929379
325,AVLP_pr32_R3,720575940617353433,720575940617353433
326,SAD_pr02_L1,720575940621324996,720575940621324996
327,SAD_pr02_L2,720575940617197057,720575940617197057
328,SAD_pr02_L3,720575940617884736,720575940617884736
329,SAD_pr02_L4,720575940630659446,720575940630659446
330,put_SAD_pr02_L1,720575940615868485,720575940615868485
331,put_SAD_pr02_L2,720575940608370012,720575940608370012
