,Neuron name,Codex July 2025,new_id
405,WED_pr02_L7,720575940612078511,720575940612078511
406,WED_pr02_L8,720575940630749523,720575940630749523
407,WED_pr02_L9,720575940629938487,720575940629938487
408,WED_pr02_L10,720575940628267264,720575940628267264
409,IPS_pr02_R,720575940610116581,720575940610116581
410,IPS_pr02_L,720575940614018060,720575940614018060
411,AVLP_pr23_R,720575940644968302,720575940644968302
412,AVLP_pr23_L,720575940631153194,720575940631153194
413,PVLP_pr03-1_R1,720575940622409983,720575940622409983
414,PVLP_pr03-1_R2,720575940615205427,720575940615205427
415,PVLP_pr03-1_R3,720575940621730910,720575940621730910
416,PVLP_pr03-1_R4,720575940626583056,720575940626583056
417,PVLP_pr03-1_L1,720575940636533574,720575940636533574
418,PVLP_pr03-1_L2,720575940630637330,720575940630637330
419,PVLP_pr03-1_L3,720575940623808520,720575940623808520
420,PVLP_pr03-1_L4,720575940621301274,720575940621301274
421,PVLP_pr03-2_R1,720575940625600284,720575940625600284
422,PVLP_pr03-2_R2,720575940654167201,720575940654167201
423,PVLP_pr03-2_R3,720575940610653462,720575940610653462
424,PVLP_pr03-2_L1,720575940622304243,720575940622304243
425,PVLP_pr03-2_L2,720575940628538732,720575940628538732
426,PVLP_pr03-3_R1,720575940604285356,720575940604285356
427,PVLP_pr03-3_R2,720575940625194558,720575940625194558
428,PVLP_pr03-3_L1,720575940640926627,720575940640926627
429,PVLP_pr03-3_L2,720575940611091012,720575940611091012
430,SAD_pr01_R,720575940624571116,720575940624571116
431,SAD_pr01_L,720575940644488727,720575940644488727
432,AVLP_pr35_R,720575940612409494,720575940612409494
433,AVLP_pr35_L,720575940626196313,720575940626196313
434,vpoEN_R1,720575940619415679,720575940619415679
435,vpoEN_R2,720575940632385943,720575940632385943
436,vpoEN_L1,720575940635403230,720575940635403230
437,vpoEN_L2,720575940634829168,720575940634829168
438,vpoIN-1_R1,720575940614752395,720575940614752395
439,vpoIN-1_R2,720575940618851425,720575940618851425
440,vpoIN-1_R3,720575940612403427,720575940612403427
441,vpoIN-1_R4,720575940628528377,720575940628528377
442,vpoIN-1_R5,720575940628542807,720575940628542807
443,vpoIN-1_L1,720575940623256202,720575940623256202
