,pre_pt_root_id,post_pt_root_id,neuropil,syn_count,nt_type,Excitatory,Signed_Connectivity,Presynaptic_Index,Postsynaptic_Index
56037,720575940630820347,720575940606332629,AMMC_L,2,,-1,-2,763,18
56038,720575940620458735,720575940603636913,AMMC_R,9,,-1,-9,862,39
56039,720575940633040097,720575940635282910,SAD,1,GABA,-1,-1,288,55
56040,720575940627455621,720575940621242025,SAD,1,ACH,1,1,76,68
56041,720575940634609115,720575940611864243,AMMC_R,1,ACH,1,1,922,61
56042,720575940611864243,720575940629851496,WED_R,1,ACH,1,1,61,371
56043,720575940644319796,720575940628528377,ICL_R,1,GABA,-1,-1,207,438
56044,720575940623725972,720575940636910825,AVLP_R,4,ACH,1,4,470,455
56045,720575940618475101,720575940630057979,ICL_R,1,ACH,1,1,467,464
56046,720575940609673369,720575940635282910,AMMC_L,1,ACH,1,1,57,55
56047,720575940619491828,720575940608432760,SAD,2,ACH,1,2,221,287
56048,720575940633057943,720575940632649697,SAD,25,,-1,-25,551,6
56049,720575940612078511,720575940628267264,AMMC_L,2,GABA,-1,-2,402,405
56050,720575940619508033,720575940632945177,SAD,2,,-1,-2,567,180
56051,720575940613783038,720575940623322877,SAD,7,ACH,1,7,816,169
56052,720575940626274314,720575940616804806,WED_R,1,ACH,1,1,600,67
56053,720575940611401709,720575940644300323,AVLP_L,1,ACH,1,1,474,452
56054,720575940642123917,720575940623233238,SAD,1,,-1,-1,724,77
